Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
0	PWYQT-4477	Yes	No	4	1	SECONDARY-METABOLITE-DEGRADATION // Activation	indole glucosinolate activation (intact plant cell) // indole glucosinolate breakdown (the PEN2 pathway) // indole glucosinolate breakdown (intact plant cell)	Arabidopsis thaliana	Non-Bacteria	Degradation/utilization/assimilation	Metabolite activation/inactivation/interconversion			Secondary metabolite degradation			
1	PWY-6012-1	Yes	Yes	1	1	Protein-Modification	acyl carrier protein activation // [acp] metabolism // ACP metabolism // ACP activation	Escherichia coli,Homo sapiens	Bacteria	Macromolecule modification				Protein modification			
2	PWY-5143	Yes	Yes	1	1	Activation // Lipid-Biosynthesis	long-chain fatty acid activation // long-chain acyl-CoA synthetase pathway	Escherichia coli,Arabidopsis thaliana	Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion			Fatty acid and lipid biosynthesis			
3	PWY-5340	Yes	Yes	2	2	Noncarbon-Nutrients // Activation	sulfate activation for sulfonation // sulfation pathway	Escherichia coli,Glycine max,Homo sapiens,Saccharomyces cerevisiae,Arabidopsis thaliana	Bacteria	Degradation/utilization/assimilation	Metabolite activation/inactivation/interconversion			Inorganic nutrient metabolism			
4	PWY-6012	Yes	Yes	1	1	Protein-Modification	acyl carrier protein metabolism // [acp] metabolism // ACP metabolism // ACP metab	Escherichia coli	Bacteria	Macromolecule modification				Protein modification			
5	PWY-801	Yes	No	3	1	Interconversion	homocysteine and cysteine interconversion // transsulfuration pathway	Saccharomyces cerevisiae,Arabidopsis thaliana	Non-Bacteria	Metabolite activation/inactivation/interconversion							
6	PWY-5083	Yes	Yes	3	1	Interconversion // Cofactor-Biosynthesis	NAD(P)/NADPH interconversion	Avena sativa,Solanum tuberosum,Spinacia oleracea,Zea mays,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion			Cofactor, carrier, and vitamin biosynthesis			
7	PWY-8138	Yes	Yes	1	1	Noncarbon-Nutrients	polyphosphate metabolism	Escherichia coli	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
8	PWY-5114	Yes	No	8	1	Super-Pathways // Interconversion // Carbohydrates-Biosynthesis	UDP-sugars interconversion	Vicia faba,Petroselinum crispum,Triticum aestivum,Glycine max,Nicotiana tabacum,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion	Superpathways		Carbohydrate biosynthesis			
9	PWY-7723	Yes	Yes	7	1	Bioluminescence	bacterial bioluminescence	Aliivibrio fischeri,Photobacterium leiognathi,Photobacterium phosphoreum,Vibrio harveyi	Bacteria	Bioluminescence							
10	BETSYN-PWY	Yes	Yes	2	2	Polyamine-Biosynthesis // Metabolic-Regulators	glycine betaine biosynthesis I (Gram-negative bacteria)	Chromohalobacter israelensis,Escherichia coli	Bacteria	Biosynthesis	Biosynthesis			Amide, amidine, amine, and polyamine biosynthesis	Metabolic regulator biosynthesis		
