pathway	1136R_R_F_S5_week10	1136R_RL_F_S5_week10	2518R_L_M_S5_week10	2518R_R_M_S5_week10	3752R_0_F_S5_week10	3752R_L_F_S5_week10	3893R_R_M_S5_week10	3893R_RL_M_S5_week10	S5_inocula	096R_0_M_S5_week9	1060R_L_M_S5_week9	1076R_0_M_S5_week9	1136R_0_F_S5_week9	2402R_0_F_S5_week9	2433R_0_F_S5_week9	2475R_0_M_S5_week9	2518R_0_M_S5_week9	3924R_L_F_S5_week9	3929R_0_F_S5_week9	096R_0_M_S5_week5	2402R_R_F_S5_Pellet_week9	2475R_RL_M_S5_Pellet_week9	S5_defined_inocula	1060R_L_M_S5_week5	1076R_0_M_S5_week5	1136R_0_F_S5_week5	2402R_0_F_S5_week5	2402R_R_F_S5_week5	2475R_RL_M_S5_week5	2518R_0_M_S5_week5	3924R_L_F_S5_week5	3929R_0_F_S5_week5	S5_defined_inocula.1
1CMET2-PWY	0.0	1.4132999999982881e-12	0.0	0.0	5.750919999716516e-11	0.0003896609144288474	0.0	0.0	0.9909532483364876	0.9930665232541227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9998685319515608	0.999996877258915	0.9999999999999949	0.9999999999999053	0.9985339194462463	0.0	0.0	0.0	1.3999999999999983e-15	0.0	0.0	0.0	0.0	0.0	0.9857055011982441
ANAGLYCOLYSIS-PWY	1.0	1.0	0.9999991451139542	0.9999997784464535	1.0	1.0	1.0	0.977954121317154	0.9864084313595576	1.0	0.9998977861705075	0.9999999999999978	0.943192195895533	0.9999999999999765	0.9999999999995409	1.0	0.9732003616756281	0.9999999999999998	1.0	0.9999999999968558	1.0	1.0	0.9977212862417056	0.9999970492361567	0.9999987331900535	0.9997694879480613	0.9999999673288716	0.999998945214197	0.9999999999999775	0.9999999997515174	0.9999999999997904	0.9976195684968598	0.9878196074216301
ARGSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.028571428571428e-15	0.9999999999423916	0.9999999998896727	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333333333333323e-15	0.9999999999558111	0.9999999999148905	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7514313582478305	4.7249921086381314e-08	0.0	0.24562191872866357	0.0	0.030554273769534273	0.0	0.0	0.0	0.0	0.0038397234067882543	0.9999999999898608	1.0	1.0	0.778213708578041	1.2546381590747341e-07	0.0	0.0	1.8199999999999717e-14	0.9733500943995889	0.0	0.0	0.0	0.0	0.7778986652456564
BRANCHED-CHAIN-AA-SYN-PWY	1.0	1.0	0.9999968402243816	0.9999989291877412	1.0	1.0	1.0	0.9414136892116254	0.7249868726504612	1.0	0.999714834532337	0.9999999999999736	0.6760285766469115	0.9999999999999021	0.9999999999980487	1.0	0.9443924254886322	0.9999999999999991	1.0	0.999999999985766	1.0	1.0	0.7660601113772647	0.9999917928353735	0.9999960190902744	0.9993770633866254	0.9999999205632351	0.999997472032567	0.9999999999998768	0.9999999989789483	0.9999999999993854	0.7667736285206745	0.7600175559710941
CALVIN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.867304479397185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999993552483586
COA-PWY	0.7667598923779315	0.9948998756356959	0.001001007215332486	2.3301099628121924e-05	0.9974096247473195	0.7119156811955639	0.7057594492767504	6.172417976549221e-13	0.061072934524158344	0.9999920563891423	0.532962649204032	0.916422140968066	0.0	0.3518119689747423	0.11904690263610536	0.6497885716595038	2.17242218600393e-11	0.1393692543536531	0.8164191313110837	3.25619484538323e-07	0.08374226505667971	0.00035473595431216815	0.001132205909742744	0.3368051469864674	8.838576529049608e-06	1.0359396501418822e-05	0.9609237648479712	0.014464445634169019	0.44951493602918663	0.047788101157517894	0.00011507448208237995	0.0	0.017176647420192055
COMPLETE-ARO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7755278461682076	5.399990944850844e-08	0.0	0.27119485005837685	0.0	0.03476741386781404	0.0	0.0	0.0	0.0	0.004385849543593549	0.9999999999911282	1.0	1.0	0.800403524752532	1.4338721560998286e-07	0.0	0.0	2.0799999999999622e-14	0.9766033929284118	0.0	0.0	0.0	0.0	0.8001119055166681
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9697012748827665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999911468906364	0.012891503480617171	0.28870582671431416	0.998210749317075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9920939100284651
