pathway	096R_0_M_S5_week5	096R_0_M_S5_week9	1060R_L_M_S5_week5	1060R_L_M_S5_week9	1076R_0_M_S5_week5	1076R_0_M_S5_week9	1136R_0_F_S5_week5	1136R_0_F_S5_week9	1136R_RL_F_S5_week10	1136R_R_F_S5_week10	2402R_0_F_S5_week5	2402R_0_F_S5_week9	2402R_R_F_S5_Pellet_week9	2402R_R_F_S5_week5	2433R_0_F_S5_week9	2475R_0_M_S5_week9	2475R_RL_M_S5_Pellet_week9	2475R_RL_M_S5_week5	2518R_0_M_S5_week5	2518R_0_M_S5_week9	2518R_L_M_S5_week10	2518R_R_M_S5_week10	3752R_0_F_S5_week10	3752R_L_F_S5_week10	3893R_RL_M_S5_week10	3893R_R_M_S5_week10	3924R_L_F_S5_week5	3924R_L_F_S5_week9	3929R_0_F_S5_week5	3929R_0_F_S5_week9	S5_defined_inocula	S5_defined_inocula.1	S5_inocula
1CMET2-PWY	10658.482021025557	21032.45934138397	13335.671485250383	20542.936434615593	13298.287592962997	16257.867947224582	10784.775775373446	24204.81559729925	17263.209878508664	17903.917836110653	14768.88118795663	22737.274811032283	11992.111383160094	12085.695095571096	21975.197820779344	21238.06676974265	14266.845924819887	20082.837832582423	14132.628326446087	18403.555776997964	19220.07707233722	17099.50395862154	17144.71134828813	15176.64284123378	15634.845813037538	19137.81024227194	15990.971003557846	21171.982432771103	17325.958123957716	21565.47657328273	19500.837771066806	11616.406790971281	11323.522971401859
AEROBACTINSYN-PWY	259.71	299.14	476.29	204.86	413.14	733.29	98.29	141.43	159.29	145.14	94.86	696.14	204.0	433.57	174.86	128.0	407.86	691.71	153.29	88.57	133.29	156.0	388.14	126.71	196.0	115.86	113.0	161.57	347.86	127.57	3515.14	2306.86	1882.14
ALL-CHORISMATE-PWY	301.22498141263935	346.95791821561335	552.4255762081784	237.6071375464684	479.1809665427509	850.5073605947955	114.0017843866171	164.03776951672862	184.75271375464683	168.34081784386615	110.02349442379182	807.4188847583642	236.6096654275093	502.8767286245353	202.81159851301115	148.46096654275092	473.05695167286245	802.2807434944239	177.79360594795537	102.72802973977694	154.59657992565053	180.93680297397768	450.18468401486984	146.96475836431225	227.33085501858736	134.38037174721188	131.0631970260223	187.39717472118957	403.46587360594793	147.96223048327136	4077.03970260223	2675.6145724907065	2183.002527881041
ANAEROFRUCAT-PWY	3986.0332956077036	4526.369093200934	2723.3719743125494	3225.643778350265	3489.6697476182358	4369.45042355424	2759.8523412295904	6686.094647045122	3348.9558564209437	3782.1981713018276	1883.4448306103914	5034.096614236214	3949.175084529966	3202.28400928783	4401.575135720955	5054.1429972645465	5324.633316338363	5536.3237983262525	3268.139785165114	3860.7266518705046	3625.1153611263494	3863.363112748356	3532.4134067298546	3733.584395925115	3743.853598089583	4180.8446286226745	4079.114271497351	4537.3579129444815	4454.001399876168	5114.353708722173	14240.984099170231	7661.653730912571	6915.930689060389
ANAGLYCOLYSIS-PWY	13736.600950877852	26561.100583095835	16408.03572079704	25228.73136913471	17077.3891290822	20242.59277579772	13682.069850867623	31979.18941933482	21535.425642619615	22310.206296634184	17811.803987950778	28128.623164454697	15360.684361397454	15095.070808765428	27806.975348943066	27006.54113255137	18147.70589712885	25557.27307699835	17689.956209137912	23323.454585811272	24050.347721380225	21551.709645078718	21705.395206962166	19549.56493293009	19851.55473024578	23992.575318153667	20162.429564082533	26871.18435311068	22004.361952598672	27383.7272656438	26966.562159320914	16064.722321882045	15517.858407892541
ARG+POLYAMINE-SYN	306.5429508196721	353.08327868852456	562.1783606557377	241.80196721311478	487.6406557377049	865.5226229508196	116.0144262295082	166.93377049180327	188.0144262295082	171.31278688524588	111.96590163934425	821.6734426229508	240.78688524590163	511.75475409836065	206.392131147541	151.08196721311475	481.40852459016395	816.4445901639344	180.93245901639344	104.54163934426228	157.32590163934424	184.1311475409836	458.1324590163934	149.55934426229507	231.34426229508196	136.7527868852459	133.37704918032787	190.70557377049178	410.5888524590164	150.5744262295082	4149.017704918033	2722.8511475409837	2221.5422950819675
ARGORNPROST-PWY	290.94387096774193	186.17000000000002	262.01	245.62032258064517	190.82999999999998	658.2567741935484	147.07516129032257	342.1848387096774	290.2441935483871	165.5	50.83	278.6967741935484	326.7625806451613	356.49	372.7170967741935	509.23548387096776	291.66	282.34	259.17	229.82258064516128	150.0	199.15999999999997	191.84000000000003	269.13548387096773	297.5506451612903	231.0903225806452	107.67	308.9525806451613	298.16999999999996	291.69870967741934	1811.074193548387	313.54290322580647	777.6451612903227
ARGSYN-PWY	8797.01263240135	13985.314301621826	8931.015924225352	12474.077149353416	7877.534227073932	10691.255925014995	6220.064898387019	10912.420882863875	10864.400623809088	11429.143551897283	10770.483468800167	16142.307391282806	9698.162599390098	8464.03568603704	12649.186151629568	13040.88850583435	12048.328849737254	12742.128037793138	9338.488069570689	10304.68076102274	11415.2551886336	10118.673994925917	10640.387948868103	9124.590685282557	8966.997431190779	11756.502487641525	10371.569303733435	12520.142425915983	9190.636472161765	15170.26743611227	13354.710056800459	7315.785866611627	6217.340197830657
ARGSYNBSUB-PWY	10108.042875869556	16018.340546224297	10204.036395168423	14234.29188300844	9033.20609249321	12206.342179512258	7131.545298272882	12600.691715079216	12440.12414817444	13105.628109792511	12313.648178129042	18493.100093977668	11129.484340195188	9669.460375208224	14495.566435492026	14922.35968425918	13839.816380215969	14581.00283791536	10691.443978209594	11823.485680113823	13086.418270440387	11609.120712183661	12187.623701244143	10483.774639665282	10286.522674914173	13492.485570961442	11934.41156190471	14370.212646928843	10522.745183502877	17410.890304336805	14986.773378947608	8214.664474451401	6991.094701691623
ARO-PWY	9062.405806865774	14411.766161967646	9268.255365133431	12981.081988164135	8095.982100959688	11159.068564222607	6372.304580063689	11235.394693795242	11159.304441407125	11754.123372502421	11087.981125291375	16692.315605410164	9985.706438884165	8808.735322612732	13038.979961863151	13468.323164282781	12435.029492369247	13217.98344927056	9580.267579735826	10600.922198754437	11727.025393116033	10418.716968694343	11001.405490856843	9368.06775646578	9250.243958943054	12077.678810971995	10592.338003009994	12880.260044296972	9506.524659761439	15557.716062509253	14437.330156882592	7961.163743565418	6788.403507867662
