pathway	plate1_1002R_0_M_NS6_week10_S69_	plate1_1002R_L_M_NS6_week10_S70_	plate1_1075R_0_M_NS6_week9_S72_L	plate1_184R_0_F_NS6_week10_S65_L	plate1_184R_L_F_NS6_week10_S66_L	plate1_2403R_L_F_NS6_week10_S67_	plate1_2506R_0_F_NS6_week10_S68_	plate1_3894R_0_M_NS6_week10_S71_	plate1_T1D_NS6_defined_mouse_ino	plate2_016R_0_F_NS6_week9_S79_L0	plate2_1075R_L_M_NS6_week9_S84_L	plate2_1184R_0_M_NS6_week9_S85_L	plate2_1186R_0_M_NS6_week9_S86_L	plate2_1186R_RR_M_NS6_week9_S87_	plate2_184R_0_M_NS6_week9_S88_L0	plate2_2403R_0_F_NS6_week9_S80_L	plate2_2476R_R_F_NS6_week9_S81_L	plate2_2562R_0_F_NS6_week9_S82_L	plate2_2562R_RL_F_NS6_week9_S83_	plate3_016R_0_F_NS6_week5_S1_L00	plate3_016R_R_F_NS6_Pellet_week9	plate3_1075R_RL_M_NS6_Pellet_wee	plate3_NS6_defined_inocula_S86_L	plate4_016R_R_F_NS6_week5_S1_L00	plate4_1075R_0_M_NS6_week5_S2_L0	plate4_1075R_RL_M_NS6_week5_S3_L	plate4_1184R_0_M_NS6_week5_S4_L0	plate4_1186R_0_M_NS6_week5_S5_L0	plate4_1186R_RR_M_NS6_week5_S6_L	plate4_184R_0_M_NS6_week5_S7_L00	plate4_2403R_0_F_NS6_week5_S8_L0	plate4_2476R_R_F_NS6_week5_S9_L0	plate4_2562R_0_F_NS6_week5_S10_L	plate4_2562R_RL_F_NS6_week5_S11_	plate4_NS6_defined_inocula_S86_L
1CMET2-PWY	20812.895476047204	18483.469477968618	17004.550169692437	17784.406161972616	19665.238531753443	20360.380457508323	15761.275185718467	18390.42478567125	17433.076990912083	20786.567264593745	19372.688486598083	21708.45691623783	20669.775252728956	21334.09752916514	23290.892511159673	20061.00331732614	19904.89464627514	19139.777931373326	18698.56913524645	14304.153166183763	15216.422958119885	15490.127692870528	23595.299840254294	11356.227139557017	9695.164306850478	12916.589905571114	10047.5033259367	10143.954253389244	11439.988517733924	9892.341247025768	11642.199861778376	10604.155211405738	10979.901667402324	9854.957383878549	14881.13869743142
AEROBACTINSYN-PWY	187.57	84.43	80.43	64.43	86.14	58.29	502.0	97.86	647.5799999999999	80.43	56.29	24.29	70.0	60.709999999999994	60.57	91.0	114.56999999999998	66.43	62.86000000000001	423.0	44.86	45.14	539.0	200.57000000000002	58.56999999999999	136.43	272.14	206.28	134.57	26.0	124.57000000000001	112.14	240.57	54.0	366.86
ALL-CHORISMATE-PWY	4924.207797196962	3127.8389044958785	2741.326017103324	2602.2703055829706	3320.837267398815	2531.466484617434	5813.429551814737	3322.684034739342	6966.728512012052	3107.2650567990836	2260.267860103581	1271.0350091938835	2849.4820439327264	2531.2566698781848	2876.233992632197	3226.9439824090955	3550.732084002577	2863.7073859999778	2777.3744519849565	4641.6039410103185	1902.9614044184375	1877.285291731314	8241.266907661113	2964.3653779498077	1871.0761798622088	3213.880022683282	3518.6095122127012	2905.310925786672	2626.7055612780864	1170.3679637885368	2754.4348791878033	2618.0436512905535	3532.988201901573	1820.227334385147	5330.073250570128
ANAEROFRUCAT-PWY	14693.789996097803	13417.633872200367	13163.715714661532	11665.161757040783	14586.059352250986	13592.711717196886	11543.24152785954	16489.555639780738	15317.89300517981	15820.162996939745	13723.918877326823	16550.7663888907	18413.501028491257	19146.989719810572	19336.14975507175	13996.663096830785	13889.704564326092	13274.263740788489	11500.425404663121	10179.01956016871	9293.3939119635	11780.149306897669	22741.071843449346	7443.938908421865	8669.461314885895	10224.936394409624	8978.419574349065	7406.645432376741	8122.035548137176	7296.443103052286	8969.49327421507	8712.850117703303	9643.667901730229	8587.471071352273	14718.141960858446
ANAGLYCOLYSIS-PWY	27255.36604271252	24375.487855217252	21658.89794791916	23134.656396606162	25333.991831658557	26399.863777600138	21230.127734819253	23831.01310111928	23113.131602682835	26765.841507237932	24754.937439400353	27690.914396101358	27027.11846816877	27918.348576278015	29762.297136745885	26953.499754390738	25789.735505179196	24977.43852609981	24098.812073008958	18499.753535668326	19480.731272554072	19465.661209451282	30957.784056001572	14672.39276849184	12728.741500384976	16857.683893445334	13206.464209043184	13295.736846263046	14868.774913768335	13007.050553200272	15263.353419253732	13721.622082147429	14334.959753792495	12737.298212286383	19728.97837295162
ARG+POLYAMINE-SYN	1502.8662628379682	1015.4204173180553	1394.8643382457303	1107.969424163082	728.5784801447883	1298.9789810230718	3704.782324771613	705.3902291781687	3727.5500899776266	1236.678796914683	570.7784631581894	494.96239982796095	1101.188011097786	927.337174675875	1394.8740752272502	3459.6844110630423	1935.2142505187244	1783.5918228239666	647.1478448477139	1642.9593105677347	857.6265131744727	576.8006727394921	4705.051321821104	783.6580806093269	834.2982200579297	785.0540378856	1016.123459052857	1467.5898668558468	1132.340148481037	858.6786059567967	483.0136751082201	448.81344225985936	1563.144271056378	316.4277161498832	3196.7151112361475
ARGDEG-PWY	393.83769720132926	185.88461054805217	154.67970431982795	130.32767866532387	171.9503753777024	129.65537637917274	936.1290890050811	197.7168041734202	1180.0487316989881	178.95002687786513	113.070271750991	50.909794925737565	158.31525559330075	138.12832237819276	119.83652007724532	196.52517787245586	246.3669385178165	143.84934932613893	126.85470737052785	783.2844891951089	94.91084925056676	92.11521913976198	1023.4961103265083	365.2051577120133	113.68101962693537	260.0245400524053	498.0880375908152	399.406927865243	274.95767839413656	50.9430820529533	247.1957266192672	222.7101767475743	454.3880348058976	104.91774592865407	695.11695848493
ARGORNPROST-PWY	918.4578212522758	902.6111662913244	1278.743930166866	856.4992624766746	1158.622914835817	976.6013981590147	1925.2199891463156	887.4685428158588	3997.6960353027703	428.6557038036895	945.7373962530139	1230.9647137312375	430.2885169045127	425.722377831421	272.309220396455	1936.7549826661332	1553.0459112533392	1532.6872199801815	942.6580603186133	447.2751466069767	962.7257249661403	1134.5809009543193	8550.075397890096	589.5889058836752	924.5943739414093	571.3357558249116	368.939321583288	927.0620662761291	824.8972912234215	960.8871280466246	332.71295415781793	208.61845906621298	1233.311347861603	511.72112135448305	5623.209672604549
ARGSYN-PWY	18154.793210120144	16461.57332264367	14161.048440576953	14923.791477271292	16002.449029931875	17522.291605259285	13029.922644253758	16132.973608583165	15045.699246350987	18300.519115908028	14585.723906197592	15695.18307585096	17965.4779426925	18452.59134490702	19287.170677143193	17368.01630842581	15692.127797193252	16434.516021531144	15730.492627442974	12492.218164569207	12535.276866303442	12689.405213536162	17293.195402525995	9458.362033820058	8489.694793448089	11059.326753888985	9119.906509159373	8767.065121409772	9359.807139364355	8541.17510578426	10182.25277306733	8987.149120386119	9774.109433461288	8425.663439334705	11052.920295095257
ARGSYNBSUB-PWY	16126.149966367577	14431.714106341356	12289.82830120833	14541.026315743973	13139.608663018678	14217.108171562035	13903.556130160827	14213.409581175614	13772.274692818846	15509.520289465156	11408.096858128594	12396.249560789382	15172.77018209977	15609.830288130424	16373.098101423753	15155.545612994047	12737.93824027892	14749.054925162425	12860.492632819827	11909.423507304979	10156.52706024587	10572.603063440414	15889.242588251194	7677.447289904859	7753.391275973735	9399.330801997618	8466.4303062598	7968.095439338889	7778.025094349553	8290.408519709394	8847.982762579511	7745.187212354959	9156.432213747079	7436.2361695988375	10188.286357521936
