pathway	plate1_1002R_0_M_NS6_week10_S69_	plate1_1002R_L_M_NS6_week10_S70_	plate1_1075R_0_M_NS6_week9_S72_L	plate1_184R_0_F_NS6_week10_S65_L	plate1_184R_L_F_NS6_week10_S66_L	plate1_2403R_L_F_NS6_week10_S67_	plate1_2506R_0_F_NS6_week10_S68_	plate1_3894R_0_M_NS6_week10_S71_	plate1_T1D_NS6_defined_mouse_ino	plate2_016R_0_F_NS6_week9_S79_L0	plate2_1075R_L_M_NS6_week9_S84_L	plate2_1184R_0_M_NS6_week9_S85_L	plate2_1186R_0_M_NS6_week9_S86_L	plate2_1186R_RR_M_NS6_week9_S87_	plate2_184R_0_M_NS6_week9_S88_L0	plate2_2403R_0_F_NS6_week9_S80_L	plate2_2476R_R_F_NS6_week9_S81_L	plate2_2562R_0_F_NS6_week9_S82_L	plate2_2562R_RL_F_NS6_week9_S83_	plate3_016R_0_F_NS6_week5_S1_L00	plate3_016R_R_F_NS6_Pellet_week9	plate3_1075R_RL_M_NS6_Pellet_wee	plate3_NS6_defined_inocula_S86_L	plate4_016R_R_F_NS6_week5_S1_L00	plate4_1075R_0_M_NS6_week5_S2_L0	plate4_1075R_RL_M_NS6_week5_S3_L	plate4_1184R_0_M_NS6_week5_S4_L0	plate4_1186R_0_M_NS6_week5_S5_L0	plate4_1186R_RR_M_NS6_week5_S6_L	plate4_184R_0_M_NS6_week5_S7_L00	plate4_2403R_0_F_NS6_week5_S8_L0	plate4_2476R_R_F_NS6_week5_S9_L0	plate4_2562R_0_F_NS6_week5_S10_L	plate4_2562R_RL_F_NS6_week5_S11_	plate4_NS6_defined_inocula_S86_L
1CMET2-PWY	0.20078600647788544	0.0	3.624668487386038e-08	2.68227399938332e-10	0.0	0.0	1.4979999999998074e-13	0.37796774848263864	0.9994803246396566	0.7137967202715007	9.09999999999993e-15	0.0001125966010390504	8.159412657872513e-07	1.0336130102937855e-06	0.31079057583550806	0.0	0.0	0.8457926839680784	0.9669183767106707	0.11181740078901378	1.3999999999999983e-15	1.0730999999990116e-12	0.9999269071862541	2.6038599999413362e-11	0.9854129968959111	0.0011304696073375922	0.6997141866560345	3.0426516916022026e-06	0.0021764087314116716	0.009917536868793384	0.23907044692726587	0.00541025675808363	0.8868210066938098	0.0916604748572127	0.9976954969317298
ANAGLYCOLYSIS-PWY	0.6389415549046448	0.9982546199985391	9.59399999999284e-13	0.8649530020781221	6.666736738048918e-06	0.9969619595481085	0.9999950427821563	0.0	0.9999929854981586	0.4308076514055846	0.007138210994956088	0.0001032938183425762	0.5708176590932077	0.7628112677795346	0.0	0.9999460845536347	0.9985495363914784	0.9625352182850017	0.23675508160956824	0.1799650157168554	0.5748391147022639	4.66529651764207e-05	1.0	0.11969146273253249	1.6191937414658482e-05	0.0007680963469248577	3.093098791928608e-06	0.9607940196266448	0.7377321862119675	0.513639190607733	0.05918363193225808	8.091525546541742e-09	5.74329943344619e-08	9.359999999999313e-14	1.0
BIOTIN-BIOSYNTHESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.638999999438142e-13	1.4492799999818979e-11	0.0	0.0	0.0	0.0	0.0	1.820064131928534e-15	0.0	0.0	0.0	0.0	2.669768249459842e-05	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	0.5712102930456826	0.9897780539123879	0.9389199978949715	0.9947393576451456	0.8951680168891092	0.9977818800012581	0.5283225648686531	0.8992399750440561	0.06690313760393304	0.9836310595021103	0.9627674618285611	0.9499890747778841	0.8654591665253483	0.9419537405339239	0.8759620521267159	0.15990861105031426	0.6908082286488761	0.833983847226771	0.9882922203000094	0.630356820707109	0.9942738958042866	0.9690512769215914	0.0	0.936680451153334	0.9146454708341869	0.9541926227048969	0.9655703672796839	0.7828084865819588	0.7943265328282367	0.9928086639279985	0.6926966484657642	0.5674314174630024	0.8339450288881617	0.9456663496220394	0.0
CALVIN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9437239998110971e-10	1.4131799999900145e-11
COA-PWY	7.973250197048662e-08	0.0027563529878306607	5.277999999998602e-13	0.673415817502096	1.4999470712859672e-06	0.0316907225477123	0.8168341523308892	0.0	0.9999999999992286	6.852599999976326e-12	0.0023244969349232574	2.7922991345957887e-05	0.0	0.0	0.0	0.7684052936855928	0.001095094844226524	8.838539069267933e-08	0.08242249684301885	8.715470671869946e-05	0.15117315078044127	1.0579026845668781e-05	1.0	0.12185596060007295	1.8118937983532133e-09	0.0007167800540331343	2.851867984764107e-06	0.0004492947458994074	0.0010245509963962135	0.3558754481188212	0.006410665618807475	2.999999999999994e-15	6.499999999999789e-14	7.399999999999717e-14	1.0
COBALSYN-PWY	0.0	2.9745789970506267e-09	0.0	0.002509419182768617	5.199999999999991e-15	3.719622153881362e-08	0.04800137421215191	0.0	0.0	0.0	1.3897896248599285e-06	7.713999999998018e-13	0.0	0.0	0.0	0.08989187958170895	1.9155999999987766e-12	3.9999999999999994e-16	5.6472646952937996e-05	3.339777999628066e-10	8.632822866314181e-05	1.749251998980039e-09	0.0	0.0011806806531405654	0.0	1.1631430921569937e-08	3.6373799999558986e-11	1.2846587938502253e-06	3.189503631549039e-06	0.0035477681483897685	8.701040884807722e-05	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011602055860924952	0.2589612179234909	0.0	0.0	0.0	0.0	0.0	1.1636549999892003e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999869	0.0	1.4792946639721257e-05	0.0	3.6233999999897447e-12	0.0	0.0	0.0	0.0	0.0	0.0	8.999999999999996e-16	0.9999999999923416
DTDPRHAMSYN-PWY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FASYN-ELONG-PWY	0.9999999964704736	0.0	0.7286548901662636	0.0	0.0	0.0	0.0	0.8009401602071956	0.0	0.0	0.0	0.0	4e-16	0.0	0.7086730431221038	0.0	0.0	1.5027999999983063e-12	0.0007085557317156561	0.9976906264164902	0.0	0.0	0.0	3.4479999999991084e-13	0.0	1.1999999999999988e-15	0.0	0.0	0.0	0.0	0.9999999999999944	0.9999999999999996	4e-16	2.136841763755734e-05	0.0
